"user_id","age","num_clicks","num_sessions","avg_session_duration","gender","marital_status","has_children","home_country","home_city","num_trips","num_flights","total_money_spent_hotel","avg_distance_flown","customer_segmentation","perk_per_group"
"224996","43","317","10","806.80","F","Non_Married","Yes","canada","halifax","3","6","0","6393.03","Group Travelers","One Night Free Hotel with Flight"
"226367","44","125","9","102.67","F","Non_Married","No","usa","washington","4","8","1864","3565.98","Frequent Traveler","No Cancellation Fee"
"228872","35","241","11","163.18","M","Non_Married","No","usa","san antonio","4","6","2388","1563.69","Group Travelers","One Night Free Hotel with Flight"
"229009","18","264","10","805.06","F","Non_Married","No","usa","stockton","4","8","474","7412.03","Frequent Traveler","No Cancellation Fee"
"229330","48","159","11","107.09","F","Married","No","usa","colorado springs","5","10","3365","1544.36","Frequent Traveler","No Cancellation Fee"
"232647","18","127","10","147.50","F","Non_Married","No","usa","birmingham","3","4","4303","10380.16","Regular Travelers","Free hotel Meal"
"232647","18","127","10","147.50","F","Non_Married","No","usa","birmingham","3","4","4303","10380.16","Regular Travelers","Regular Traveler"
"232647","18","127","10","147.50","F","Non_Married","No","usa","birmingham","3","4","4303","10380.16","Solo","Free hotel Meal"
"232647","18","127","10","147.50","F","Non_Married","No","usa","birmingham","3","4","4303","10380.16","Solo","Regular Traveler"
"249521","60","225","11","152.00","F","Married","Yes","canada","ottawa","5","8","5940.4","3266.80","Frequent Traveler","No Cancellation Fee"
"252835","38","346","14","220.29","F","Non_Married","Yes","usa","chicago","9","17","3126","1712.20","Frequent Traveler","No Cancellation Fee"
"264470","46","129","11","88.45","F","Non_Married","Yes","usa","bakersfield","2","4","2127","2391.64","Family Travelers","Exlcusive Discount"
"276512","42","169","12","104.67","F","Married","Yes","usa","austin","1","2","100","2409.25","Family Travelers","Exlcusive Discount"
"281952","37","221","11","149.55","F","Non_Married","No","usa","louisville","5","10","2949.30","4514.37","Frequent Traveler","No Cancellation Fee"
"283325","51","194","13","111.15","F","Married","No","usa","dallas","5","8","3277","2074.38","Frequent Traveler","No Cancellation Fee"
"290123","41","262","13","149.77","F","Married","No","usa","houston","8","15","4987","2430.28","Frequent Traveler","No Cancellation Fee"
"297546","51","287","12","177.92","F","Married","No","usa","new york","8","11","6176.00","1955.48","Frequent Traveler","No Cancellation Fee"
"298253","47","156","12","97.25","F","Married","Yes","usa","los angeles","3","6","320","3026.19","Family Travelers","Exlcusive Discount"
"299476","39","507","13","729.00","F","Married","No","usa","atlanta","3","6","11506.2","4430.51","Group Travelers","One Night Free Hotel with Flight"
"306819","60","358","11","792.36","F","Married","Yes","usa","new york","2","4","633","442.02","Family Travelers","Exlcusive Discount"
"312488","31","140","11","95.36","M","Married","No","usa","new york","3","6","374","3368.88","Couple Travelers","One Night Free Hotel with Flight"
"313724","52","403","10","926.90","F","Non_Married","No","usa","tulsa","7","12","6950","1876.33","Frequent Traveler","No Cancellation Fee"
"316527","42","188","11","127.73","F","Married","Yes","canada","winnipeg","4","8","5658.30","1940.68","Frequent Traveler","No Cancellation Fee"
"317688","41","184","12","113.75","F","Non_Married","Yes","usa","indianapolis","6","12","1526.00","1547.36","Frequent Traveler","No Cancellation Fee"
"322867","46","139","11","94.27","F","Non_Married","No","usa","mobile","3","4","7766","2144.90","Regular Travelers","Free hotel Meal"
"322867","46","139","11","94.27","F","Non_Married","No","usa","mobile","3","4","7766","2144.90","Regular Travelers","Regular Traveler"
"322867","46","139","11","94.27","F","Non_Married","No","usa","mobile","3","4","7766","2144.90","Solo","Free hotel Meal"
"322867","46","139","11","94.27","F","Non_Married","No","usa","mobile","3","4","7766","2144.90","Solo","Regular Traveler"
"324191","40","196","11","132.18","F","Non_Married","No","usa","san diego","4","8","3716","1953.78","Frequent Traveler","No Cancellation Fee"
"328590","56","438","11","826.18","F","Non_Married","No","usa","san diego","5","10","2755.25","3325.91","Frequent Traveler","No Cancellation Fee"
"330764","39","423","11","804.64","F","Non_Married","No","usa","detroit","5","4","2534","733.63","Group Travelers","One Night Free Hotel with Flight"
"330893","43","171","11","115.91","F","Married","Yes","usa","oklahoma city","3","6","750","1603.35","Family Travelers","Exlcusive Discount"
"331039","45","249","11","478.31","F","Married","Yes","canada","london","2","4","3244.6","1924.09","Group Travelers","One Night Free Hotel with Flight"
"334787","53","199","11","133.91","F","Non_Married","No","usa","minneapolis","5","10","1459","1516.75","Frequent Traveler","No Cancellation Fee"
"337227","35","116","10","85.90","F","Married","No","usa","santa ana","1","2","470","124.31","Group Travelers","One Night Free Hotel with Flight"
"338086","40","197","12","122.92","F","Non_Married","Yes","usa","washington","4","8","966.0","2335.46","Frequent Traveler","No Cancellation Fee"
"343928","65","161","10","118.80","F","Married","No","usa","el paso","4","8","2431","6069.39","Frequent Traveler","No Cancellation Fee"
"347778","50","298","13","170.85","F","Non_Married","No","usa","las vegas","9","16","9558.0","2997.85","Frequent Traveler","No Cancellation Fee"
"348817","29","183","10","134.60","F","Non_Married","No","canada","calgary","6","8","3450.45","2407.07","Frequent Traveler","No Cancellation Fee"
"349132","49","166","11","112.45","F","Non_Married","No","usa","cincinnati","5","6","4811.1","1712.23","Group Travelers","One Night Free Hotel with Flight"
"350648","18","313","9","732.39","F","Non_Married","No","usa","lincoln","2","4","2505","1217.35","Regular Travelers","Free hotel Meal"
"350648","18","313","9","732.39","F","Non_Married","No","usa","lincoln","2","4","2505","1217.35","Regular Travelers","Regular Traveler"
"350648","18","313","9","732.39","F","Non_Married","No","usa","lincoln","2","4","2505","1217.35","Solo","Free hotel Meal"
"350648","18","313","9","732.39","F","Non_Married","No","usa","lincoln","2","4","2505","1217.35","Solo","Regular Traveler"
"353271","27","113","10","84.60","F","Non_Married","Yes","usa","milwaukee","2","4","1921","8428.11","Group Travelers","One Night Free Hotel with Flight"
"353694","40","118","9","97.22","F","Non_Married","Yes","usa","new york","3","5","3009","6205.87","Group Travelers","One Night Free Hotel with Flight"
"354050","50","218","11","147.45","F","Non_Married","No","usa","detroit","6","11","2354.60","1800.87","Frequent Traveler","No Cancellation Fee"
"354260","50","132","9","108.78","F","Non_Married","No","usa","providence","3","6","520","2558.41","Regular Travelers","Free hotel Meal"
"354260","50","132","9","108.78","F","Non_Married","No","usa","providence","3","6","520","2558.41","Regular Travelers","Regular Traveler"
"354260","50","132","9","108.78","F","Non_Married","No","usa","providence","3","6","520","2558.41","Solo","Free hotel Meal"
"354260","50","132","9","108.78","F","Non_Married","No","usa","providence","3","6","520","2558.41","Solo","Regular Traveler"
"354311","46","113","11","77.00","F","Married","No","usa","tucson","2","4","291","3238.71","Couple Travelers","One Night Free Hotel with Flight"
"354950","54","119","9","99.44","M","Married","No","usa","amarillo","2","4","2634","2612.99","Group Travelers","One Night Free Hotel with Flight"
"356046","35","146","10","108.90","F","Non_Married","No","canada","ottawa","4","8","2061.3","1854.83","Frequent Traveler","No Cancellation Fee"
"357737","42","506","12","787.08","F","Married","Yes","usa","san diego","8","14","3280.10","2338.16","Frequent Traveler","No Cancellation Fee"
"359072","51","424","13","666.75","F","Married","Yes","canada","montreal","5","10","1312","1313.83","Frequent Traveler","No Cancellation Fee"
"359080","42","206","11","140.73","F","Married","No","usa","new york","7","12","6415","3861.76","Frequent Traveler","No Cancellation Fee"
"359653","55","198","11","133.73","M","Non_Married","No","canada","victoria","5","10","1050.2","2131.98","Frequent Traveler","No Cancellation Fee"
"361459","42","81","12","51.08","F","Married","Yes","usa","houston","1","2","165","2403.54","Family Travelers","Exlcusive Discount"
"361759","53","169","12","104.33","F","Married","No","canada","winnipeg","5","10","119.70","3337.05","Frequent Traveler","No Cancellation Fee"
"363535","31","291","11","648.25","F","Non_Married","No","usa","charlotte","4","7","1174","1638.77","Group Travelers","One Night Free Hotel with Flight"
"365825","45","425","10","887.00","F","Non_Married","No","usa","los angeles","4","3","5484","1151.81","Regular Travelers","Free hotel Meal"
"365825","45","425","10","887.00","F","Non_Married","No","usa","los angeles","4","3","5484","1151.81","Regular Travelers","Regular Traveler"
"365825","45","425","10","887.00","F","Non_Married","No","usa","los angeles","4","3","5484","1151.81","Solo","Free hotel Meal"
"365825","45","425","10","887.00","F","Non_Married","No","usa","los angeles","4","3","5484","1151.81","Solo","Regular Traveler"
"371201","28","166","10","122.80","M","Non_Married","Yes","usa","new york","2","4","138","2480.43","Family Travelers","Exlcusive Discount"
"372970","34","122","9","102.22","F","Non_Married","No","usa","charlotte","3","6","1448","8433.59","Regular Travelers","Free hotel Meal"
"372970","34","122","9","102.22","F","Non_Married","No","usa","charlotte","3","6","1448","8433.59","Regular Travelers","Regular Traveler"
"372970","34","122","9","102.22","F","Non_Married","No","usa","charlotte","3","6","1448","8433.59","Solo","Free hotel Meal"
"372970","34","122","9","102.22","F","Non_Married","No","usa","charlotte","3","6","1448","8433.59","Solo","Regular Traveler"
"373489","37","171","12","105.25","F","Married","Yes","usa","wichita","3","4","9393","10990.48","Group Travelers","One Night Free Hotel with Flight"
"374331","42","383","11","780.64","M","Non_Married","No","usa","milwaukee","3","4","7380","734.24","Regular Travelers","Free hotel Meal"
"374331","42","383","11","780.64","M","Non_Married","No","usa","milwaukee","3","4","7380","734.24","Regular Travelers","Regular Traveler"
"374331","42","383","11","780.64","M","Non_Married","No","usa","milwaukee","3","4","7380","734.24","Solo","Free hotel Meal"
"374331","42","383","11","780.64","M","Non_Married","No","usa","milwaukee","3","4","7380","734.24","Solo","Regular Traveler"
"374340","35","158","12","98.50","F","Married","No","usa","new york","2","2","1122","16455.39","Group Travelers","One Night Free Hotel with Flight"
"374341","26","128","9","106.22","F","Non_Married","No","usa","detroit","4","2","8540","11589.27","Group Travelers","One Night Free Hotel with Flight"
"375729","53","191","12","117.50","F","Non_Married","No","usa","atlanta","5","10","3039","1484.78","Frequent Traveler","No Cancellation Fee"
"375751","50","291","11","195.45","F","Married","No","usa","cleveland","3","6","999","1321.67","Couple Travelers","One Night Free Hotel with Flight"
"376159","42","139","10","103.90","F","Non_Married","No","usa","long beach","3","4","1624","2067.82","Regular Travelers","Free hotel Meal"
"376159","42","139","10","103.90","F","Non_Married","No","usa","long beach","3","4","1624","2067.82","Regular Travelers","Regular Traveler"
"376159","42","139","10","103.90","F","Non_Married","No","usa","long beach","3","4","1624","2067.82","Solo","Free hotel Meal"
"376159","42","139","10","103.90","F","Non_Married","No","usa","long beach","3","4","1624","2067.82","Solo","Regular Traveler"
"377411","38","167","11","113.09","F","Married","No","canada","montreal","3","6","1026","2224.24","Group Travelers","One Night Free Hotel with Flight"
"378565","41","174","10","130.10","F","Married","Yes","usa","nashville","7","8","9160","1805.78","Frequent Traveler","No Cancellation Fee"
"379543","56","155","10","115.00","F","Married","No","usa","san jose","5","8","2229","1931.09","Frequent Traveler","No Cancellation Fee"
"380434","50","169","12","103.83","F","Married","Yes","usa","oklahoma city","5","10","2054","1822.42","Frequent Traveler","No Cancellation Fee"
"380436","45","171","10","126.10","F","Non_Married","No","usa","new york","3","6","1728.0","1367.23","Regular Travelers","Free hotel Meal"
"380436","45","171","10","126.10","F","Non_Married","No","usa","new york","3","6","1728.0","1367.23","Regular Travelers","Regular Traveler"
"380436","45","171","10","126.10","F","Non_Married","No","usa","new york","3","6","1728.0","1367.23","Solo","Free hotel Meal"
"380436","45","171","10","126.10","F","Non_Married","No","usa","new york","3","6","1728.0","1367.23","Solo","Regular Traveler"
"380757","46","162","11","109.91","F","Non_Married","Yes","usa","los angeles","5","9","2005.35","1819.05","Frequent Traveler","No Cancellation Fee"
"380874","54","208","12","128.75","F","Married","No","usa","louisville","5","10","405.60","995.36","Frequent Traveler","No Cancellation Fee"
"380949","46","466","11","834.45","F","Non_Married","No","usa","san antonio","6","12","2958.60","2156.95","Frequent Traveler","No Cancellation Fee"
"381259","21","110","9","91.67","F","Non_Married","Yes","usa","san diego","2","4","68","2859.52","Family Travelers","Exlcusive Discount"
"381465","34","272","10","355.24","F","Non_Married","No","usa","san antonio","5","5","3261","3310.99","Regular Travelers","Free hotel Meal"
"381465","34","272","10","355.24","F","Non_Married","No","usa","san antonio","5","5","3261","3310.99","Regular Travelers","Regular Traveler"
"381465","34","272","10","355.24","F","Non_Married","No","usa","san antonio","5","5","3261","3310.99","Solo","Free hotel Meal"
"381465","34","272","10","355.24","F","Non_Married","No","usa","san antonio","5","5","3261","3310.99","Solo","Regular Traveler"
"382181","36","166","11","111.27","F","Married","No","canada","halifax","5","10","3168","2339.94","Frequent Traveler","No Cancellation Fee"
"382384","57","104","10","77.80","F","Married","No","usa","st. petersburg","2","4","274","1391.23","Couple Travelers","One Night Free Hotel with Flight"
"385689","50","127","11","86.18","F","Non_Married","Yes","usa","nashville","5","6","4343","1940.22","Group Travelers","One Night Free Hotel with Flight"
"386255","32","102","11","68.82","F","Non_Married","Yes","usa","mobile","2","2","2454","2402.81","Family Travelers","Exlcusive Discount"
"386914","46","339","12","686.75","F","Married","Yes","canada","hamilton","3","6","934.8","5443.87","Group Travelers","One Night Free Hotel with Flight"
"387282","30","109","9","89.11","F","Non_Married","Yes","usa","amarillo","2","2","4440.0","2245.08","Family Travelers","Exlcusive Discount"
"387783","54","98","9","80.56","M","Married","Yes","usa","oakland","4","4","2649","3136.16","Group Travelers","One Night Free Hotel with Flight"
"388328","51","151","10","111.40","F","Married","Yes","canada","toronto","6","8","4770.9","2555.08","Frequent Traveler","No Cancellation Fee"
"388767","45","144","10","107.90","F","Married","Yes","usa","tallahassee","3","4","3244","1499.48","Family Travelers","Exlcusive Discount"
"388947","41","124","11","84.09","M","Non_Married","No","usa","new york","4","8","684","2081.19","Frequent Traveler","No Cancellation Fee"
"389434","42","495","10","939.20","F","Non_Married","No","usa","new york","7","14","1596.2","2368.38","Frequent Traveler","No Cancellation Fee"
"389662","39","268","10","199.20","F","Non_Married","No","usa","fresno","5","8","1028","2188.15","Frequent Traveler","No Cancellation Fee"
"389759","33","186","9","152.78","F","Non_Married","Yes","usa","anchorage","4","8","6092","4031.07","Frequent Traveler","No Cancellation Fee"
"390811","41","195","12","120.75","F","Non_Married","No","usa","los angeles","6","12","2258","2827.17","Frequent Traveler","No Cancellation Fee"
"392453","58","118","11","79.18","F","Non_Married","No","usa","el paso","2","4","1215","2467.51","Regular Travelers","Free hotel Meal"
"392453","58","118","11","79.18","F","Non_Married","No","usa","el paso","2","4","1215","2467.51","Regular Travelers","Regular Traveler"
"392453","58","118","11","79.18","F","Non_Married","No","usa","el paso","2","4","1215","2467.51","Solo","Free hotel Meal"
"392453","58","118","11","79.18","F","Non_Married","No","usa","el paso","2","4","1215","2467.51","Solo","Regular Traveler"
"395981","52","142","11","96.73","F","Married","No","canada","vancouver","4","6","9449","2642.55","Group Travelers","One Night Free Hotel with Flight"
"396552","45","146","12","90.25","F","Married","No","canada","london","5","6","2191.5","1557.15","Couple Travelers","One Night Free Hotel with Flight"
"399137","54","176","9","144.89","F","Married","No","usa","dallas","5","6","6424","2074.07","Group Travelers","One Night Free Hotel with Flight"
"399218","44","145","11","99.00","F","Married","Yes","usa","fort worth","3","6","246.00","930.87","Family Travelers","Exlcusive Discount"
"399799","55","229","12","140.92","F","Married","No","canada","toronto","7","7","3090.0","2008.79","Couple Travelers","One Night Free Hotel with Flight"
"400275","56","108","10","80.70","F","Married","Yes","usa","phoenix","2","4","1052","3204.80","Family Travelers","Exlcusive Discount"
"400582","32","166","10","123.20","F","Married","No","usa","chicago","6","10","3130","1750.99","Frequent Traveler","No Cancellation Fee"
"400899","46","293","11","196.64","F","Married","No","canada","quebec","5","10","2850","1757.15","Frequent Traveler","No Cancellation Fee"
"401245","28","146","10","109.20","F","Non_Married","No","usa","omaha","4","8","1214","1621.71","Frequent Traveler","No Cancellation Fee"
"402332","32","163","10","120.90","F","Non_Married","No","usa","sacramento","3","6","395.55","1685.77","Group Travelers","One Night Free Hotel with Flight"
"402978","52","148","9","121.78","F","Married","No","usa","milwaukee","5","10","3126","2071.32","Frequent Traveler","No Cancellation Fee"
"403881","44","231","11","155.18","F","Non_Married","No","usa","san diego","7","8","6323.55","2532.47","Frequent Traveler","No Cancellation Fee"
"404879","39","167","11","112.82","F","Married","No","usa","newark","6","11","5721.80","1231.46","Frequent Traveler","No Cancellation Fee"
"405305","45","187","12","115.58","F","Married","Yes","usa","san francisco","5","7","2775","2315.98","Group Travelers","One Night Free Hotel with Flight"
"406210","21","110","9","91.11","F","Non_Married","Yes","usa","anchorage","3","5","1326","7538.97","Group Travelers","One Night Free Hotel with Flight"
"407118","52","158","10","171.50","F","Married","No","usa","new york","5","9","5503","1415.42","Frequent Traveler","No Cancellation Fee"
"407250","37","340","11","230.27","F","Non_Married","No","usa","laredo","6","12","1283","2672.72","Frequent Traveler","No Cancellation Fee"
"407275","42","177","11","119.64","F","Non_Married","No","usa","philadelphia","6","12","3384","1370.90","Frequent Traveler","No Cancellation Fee"
"407434","53","95","10","70.40","F","Married","Yes","canada","halifax","3","4","3186","1868.74","Family Travelers","Exlcusive Discount"
"407642","30","149","11","100.91","F","Non_Married","No","canada","hamilton","3","6","1054","875.94","Business Traveler","Free Checking Bag"
"408551","44","116","11","79.36","F","Married","Yes","usa","chicago","3","6","2768","1523.03","Group Travelers","One Night Free Hotel with Flight"
"409073","43","204","9","168.00","F","Married","No","usa","sacramento","4","8","9998","2698.60","Frequent Traveler","No Cancellation Fee"
"411179","52","395","9","959.78","F","Non_Married","No","usa","san jose","4","6","5413","2236.51","Group Travelers","One Night Free Hotel with Flight"
"411701","40","251","11","168.36","F","Non_Married","No","canada","calgary","5","6","3948.4","2625.85","Regular Travelers","Free hotel Meal"
"411701","40","251","11","168.36","F","Non_Married","No","canada","calgary","5","6","3948.4","2625.85","Regular Travelers","Regular Traveler"
"411701","40","251","11","168.36","F","Non_Married","No","canada","calgary","5","6","3948.4","2625.85","Solo","Free hotel Meal"
"411701","40","251","11","168.36","F","Non_Married","No","canada","calgary","5","6","3948.4","2625.85","Solo","Regular Traveler"
"413128","29","193","12","119.75","F","Non_Married","No","canada","hamilton","6","10","12513.95","829.48","Frequent Traveler","No Cancellation Fee"
"413340","48","162","10","121.00","F","Married","Yes","usa","nashville","5","10","2512","1081.21","Frequent Traveler","No Cancellation Fee"
"413418","55","174","11","117.91","F","Non_Married","No","usa","knoxville","5","8","578.0","1085.01","Frequent Traveler","No Cancellation Fee"
"413658","52","215","10","464.19","F","Married","Yes","usa","philadelphia","5","6","3658.05","1721.24","Group Travelers","One Night Free Hotel with Flight"
"414128","28","206","12","127.33","F","Non_Married","No","usa","seattle","6","6","6265.4","3299.33","Group Travelers","One Night Free Hotel with Flight"
"415282","42","158","11","107.73","F","Married","Yes","usa","portland","4","8","3520.0","2751.30","Frequent Traveler","No Cancellation Fee"
"415381","46","126","10","93.70","F","Married","No","usa","chicago","3","5","704","955.73","Couple Travelers","One Night Free Hotel with Flight"
"415581","42","177","10","131.90","F","Married","No","usa","new york","4","7","2336","2315.96","Couple Travelers","One Night Free Hotel with Flight"
"416319","55","353","12","218.75","F","Married","No","usa","new york","3","6","433","1468.23","Couple Travelers","One Night Free Hotel with Flight"
"416580","44","356","10","768.63","F","Non_Married","No","usa","fort worth","7","12","2382.0","1702.27","Frequent Traveler","No Cancellation Fee"
"417679","38","197","11","133.64","F","Non_Married","No","usa","new york","7","14","4805.10","1875.20","Frequent Traveler","No Cancellation Fee"
"418329","50","215","9","176.56","M","Non_Married","Yes","usa","detroit","4","6","3844.70","834.38","Family Travelers","Exlcusive Discount"
"418488","39","221","10","163.20","F","Married","No","canada","toronto","5","8","3015","1990.61","Frequent Traveler","No Cancellation Fee"
"418692","40","360","12","699.83","F","Non_Married","No","usa","fort worth","5","10","3169.00","6056.18","Frequent Traveler","No Cancellation Fee"
"420648","53","154","11","104.00","F","Married","Yes","usa","portland","5","8","4215","3720.33","Frequent Traveler","No Cancellation Fee"
"420669","51","539","11","1010.72","F","Married","Yes","canada","calgary","5","8","2726","2995.82","Frequent Traveler","No Cancellation Fee"
"421247","42","222","10","165.50","F","Married","Yes","usa","memphis","6","12","4308.40","1206.22","Frequent Traveler","No Cancellation Fee"
"421515","31","203","9","167.89","F","Non_Married","No","canada","winnipeg","3","6","1321.05","1895.41","Regular Travelers","Free hotel Meal"
"421515","31","203","9","167.89","F","Non_Married","No","canada","winnipeg","3","6","1321.05","1895.41","Regular Travelers","Regular Traveler"
"421515","31","203","9","167.89","F","Non_Married","No","canada","winnipeg","3","6","1321.05","1895.41","Solo","Free hotel Meal"
"421515","31","203","9","167.89","F","Non_Married","No","canada","winnipeg","3","6","1321.05","1895.41","Solo","Regular Traveler"
"421666","30","458","10","911.80","F","Non_Married","Yes","usa","washington","3","6","559","2462.56","Group Travelers","One Night Free Hotel with Flight"
"421700","41","156","10","115.30","F","Non_Married","Yes","usa","richmond","3","6","2695.80","1999.87","Group Travelers","One Night Free Hotel with Flight"
"421870","30","171","10","126.60","M","Married","Yes","usa","little rock","5","10","1731","4697.08","Frequent Traveler","No Cancellation Fee"
"422066","56","185","10","136.90","F","Married","Yes","usa","cincinnati","5","8","4940","1725.02","Frequent Traveler","No Cancellation Fee"
"423042","43","296","10","300.32","F","Non_Married","Yes","canada","ottawa","8","10","4057.20","1549.14","Frequent Traveler","No Cancellation Fee"
"424553","49","272","10","202.40","F","Married","No","usa","oklahoma city","4","4","2579","1812.80","Couple Travelers","One Night Free Hotel with Flight"
"425632","46","160","11","108.27","F","Married","No","usa","tampa","4","6","2280","2510.26","Couple Travelers","One Night Free Hotel with Flight"
"425953","38","222","10","164.40","F","Married","No","usa","nashville","6","10","3448.85","968.32","Frequent Traveler","No Cancellation Fee"
"425966","56","169","10","124.30","F","Married","No","usa","las vegas","3","6","4232","3377.13","Group Travelers","One Night Free Hotel with Flight"
"426478","26","180","9","412.90","F","Non_Married","No","canada","hamilton","3","4","2363.9","3955.58","Regular Travelers","Free hotel Meal"
"426478","26","180","9","412.90","F","Non_Married","No","canada","hamilton","3","4","2363.9","3955.58","Regular Travelers","Regular Traveler"
"426478","26","180","9","412.90","F","Non_Married","No","canada","hamilton","3","4","2363.9","3955.58","Solo","Free hotel Meal"
"426478","26","180","9","412.90","F","Non_Married","No","canada","hamilton","3","4","2363.9","3955.58","Solo","Regular Traveler"
"427426","37","171","11","116.18","F","Non_Married","No","usa","san diego","4","8","134","2143.76","Frequent Traveler","No Cancellation Fee"
"427506","55","338","9","885.97","F","Married","Yes","usa","norfolk","4","8","982.2","1766.57","Frequent Traveler","No Cancellation Fee"
"428056","38","155","9","127.89","M","Non_Married","No","canada","vancouver","5","8","2738.35","3180.77","Frequent Traveler","No Cancellation Fee"
"428552","37","155","11","105.82","F","Married","No","usa","new york","4","8","1034","1987.31","Frequent Traveler","No Cancellation Fee"
"428858","21","396","10","866.60","F","Non_Married","No","usa","san diego","3","4","5582","9428.83","Regular Travelers","Free hotel Meal"
"428858","21","396","10","866.60","F","Non_Married","No","usa","san diego","3","4","5582","9428.83","Regular Travelers","Regular Traveler"
"428858","21","396","10","866.60","F","Non_Married","No","usa","san diego","3","4","5582","9428.83","Solo","Free hotel Meal"
"428858","21","396","10","866.60","F","Non_Married","No","usa","san diego","3","4","5582","9428.83","Solo","Regular Traveler"
"429375","34","301","10","681.56","F","Non_Married","No","usa","new york","4","8","933","2783.22","Frequent Traveler","No Cancellation Fee"
"430722","29","346","10","767.09","M","Non_Married","No","usa","mobile","3","6","2029.40","1865.22","Regular Travelers","Free hotel Meal"
"430722","29","346","10","767.09","M","Non_Married","No","usa","mobile","3","6","2029.40","1865.22","Regular Travelers","Regular Traveler"
"430722","29","346","10","767.09","M","Non_Married","No","usa","mobile","3","6","2029.40","1865.22","Solo","Free hotel Meal"
